trip_id,year,month,season,origin_country,destination_country,travel_purpose,traveler_type,num_travelers,duration_nights
TRP0000001,2022,4,Autumn (Sep-Nov),China,USA,Business,Couple,2,6
TRP0000002,2024,7,Spring (Mar-May),South Korea,Spain,Leisure/Tourism,Family,4,6
TRP0000003,2022,9,Winter (Dec-Feb),Pakistan,USA,Leisure/Tourism,Group Tour,24,14
TRP0000004,2019,7,Summer (Jun-Aug),Italy,Egypt,Leisure/Tourism,Solo,1,17
TRP0000005,2024,12,Spring (Mar-May),USA,New Zealand,Adventure/Sports,Solo,1,16
TRP0000006,2019,10,Winter (Dec-Feb),UAE,Switzerland,Leisure/Tourism,Backpacker,1,5
TRP0000007,2019,11,Spring (Mar-May),Mexico,Switzerland,Business,Couple,2,4
TRP0000008,2024,2,Spring (Mar-May),Italy,UAE,Religious/Pilgrimage,Solo,1,7
TRP0000009,2023,11,Autumn (Sep-Nov),India,UAE,Medical Tourism,Couple,1,10
TRP0000010,2024,9,Autumn (Sep-Nov),Pakistan,New Zealand,Cultural Exchange,Group Tour,13,19
TRP0000011,2023,5,Summer (Jun-Aug),Australia,Egypt,Business,Family,6,6
TRP0000012,2019,6,Summer (Jun-Aug),Saudi Arabia,Australia,Business,Backpacker,1,6
TRP0000013,2019,6,Summer (Jun-Aug),Russia,France,Education,Group Tour,19,174
TRP0000014,2024,8,Spring (Mar-May),Brazil,Singapore,Leisure/Tourism,Family,5,10
TRP0000015,2021,6,Winter (Dec-Feb),Brazil,UK,Family Visit,Family,5,13
TRP0000016,2022,9,Autumn (Sep-Nov),Canada,Indonesia,Business,Couple,2,2
TRP0000017,2020,4,Summer (Jun-Aug),Spain,Thailand,Business,Couple,1,3
TRP0000018,2019,1,Summer (Jun-Aug),Japan,Switzerland,Religious/Pilgrimage,Couple,2,10
TRP0000019,2022,2,Spring (Mar-May),France,UK,Leisure/Tourism,Family,3,11
TRP0000020,2021,1,Summer (Jun-Aug),USA,Morocco,Religious/Pilgrimage,Group Tour,18,11
TRP0000021,2023,5,Winter (Dec-Feb),Saudi Arabia,Maldives,Honeymoon,Business Traveler,1,11
TRP0000022,2024,1,Spring (Mar-May),Italy,Egypt,Business,Solo,1,3
TRP0000023,2020,10,Autumn (Sep-Nov),France,Spain,Cultural Exchange,Solo,1,5
TRP0000024,2022,11,Summer (Jun-Aug),Turkey,Maldives,Medical Tourism,Family,3,16
TRP0000025,2023,1,Spring (Mar-May),USA,Thailand,Adventure/Sports,Couple,1,16
TRP0000026,2022,2,Summer (Jun-Aug),Brazil,Japan,Business,Backpacker,1,4
TRP0000027,2019,2,Spring (Mar-May),Germany,USA,Business,Family,3,6
TRP0000028,2022,4,Summer (Jun-Aug),Brazil,Italy,Leisure/Tourism,Couple,1,13
TRP0000029,2024,5,Winter (Dec-Feb),Canada,Spain,Leisure/Tourism,Couple,1,19
TRP0000030,2024,3,Winter (Dec-Feb),Australia,Indonesia,Leisure/Tourism,Business Traveler,1,17
TRP0000031,2021,8,Winter (Dec-Feb),Saudi Arabia,Malaysia,Digital Nomad,Family,6,38
TRP0000032,2024,1,Winter (Dec-Feb),UK,New Zealand,Medical Tourism,Solo,1,24
TRP0000033,2024,3,Spring (Mar-May),India,Malaysia,Business,Family,5,6
TRP0000034,2023,5,Summer (Jun-Aug),Japan,Switzerland,Family Visit,Couple,1,6
TRP0000035,2024,7,Summer (Jun-Aug),Canada,Indonesia,Education,Couple,1,121
TRP0000036,2019,1,Winter (Dec-Feb),India,Singapore,Digital Nomad,Family,4,80
TRP0000037,2022,6,Winter (Dec-Feb),Russia,Maldives,Business,Group Tour,22,2
TRP0000038,2022,11,Autumn (Sep-Nov),Pakistan,Thailand,Leisure/Tourism,Backpacker,2,7
TRP0000039,2020,10,Autumn (Sep-Nov),Saudi Arabia,Thailand,Family Visit,Family,4,13
TRP0000040,2024,7,Spring (Mar-May),Saudi Arabia,Japan,Leisure/Tourism,Business Traveler,1,9
TRP0000041,2023,8,Autumn (Sep-Nov),India,Malaysia,Honeymoon,Couple,1,8
TRP0000042,2021,10,Spring (Mar-May),Brazil,Greece,Education,Family,5,36
TRP0000043,2023,9,Summer (Jun-Aug),USA,Switzerland,Digital Nomad,Family,5,49
TRP0000044,2021,12,Autumn (Sep-Nov),Germany,Indonesia,Cultural Exchange,Family,3,11
TRP0000045,2020,5,Spring (Mar-May),UAE,Egypt,Religious/Pilgrimage,Group Tour,20,19
TRP0000046,2024,6,Winter (Dec-Feb),Germany,Spain,Leisure/Tourism,Solo,1,13
TRP0000047,2020,1,Summer (Jun-Aug),USA,USA,Leisure/Tourism,Family,5,9
TRP0000048,2024,8,Autumn (Sep-Nov),Germany,UAE,Business,Family,6,6
TRP0000049,2024,12,Autumn (Sep-Nov),China,USA,Honeymoon,Solo,1,17
TRP0000050,2024,1,Spring (Mar-May),Turkey,UAE,Leisure/Tourism,Couple,2,19
TRP0000051,2023,4,Spring (Mar-May),USA,Spain,Business,Couple,1,3
TRP0000052,2024,1,Spring (Mar-May),Germany,USA,Leisure/Tourism,Group Tour,14,20
TRP0000053,2022,8,Spring (Mar-May),Germany,Malaysia,Leisure/Tourism,Family,4,13
TRP0000054,2023,5,Summer (Jun-Aug),China,Singapore,Leisure/Tourism,Couple,1,17
TRP0000055,2022,2,Summer (Jun-Aug),Netherlands,New Zealand,Business,Family,4,5
TRP0000056,2019,4,Winter (Dec-Feb),South Korea,Malaysia,Medical Tourism,Family,3,25
TRP0000057,2021,6,Spring (Mar-May),Turkey,Thailand,Leisure/Tourism,Couple,2,18
TRP0000058,2023,2,Summer (Jun-Aug),China,Canada,Adventure/Sports,Family,6,19
TRP0000059,2022,10,Winter (Dec-Feb),UK,Singapore,Leisure/Tourism,Couple,1,7
TRP0000060,2022,2,Spring (Mar-May),Netherlands,USA,Leisure/Tourism,Group Tour,11,4
TRP0000061,2023,10,Spring (Mar-May),Saudi Arabia,USA,Leisure/Tourism,Group Tour,8,5
TRP0000062,2022,10,Winter (Dec-Feb),Italy,Greece,Business,Couple,2,3
TRP0000063,2022,7,Winter (Dec-Feb),Saudi Arabia,France,Adventure/Sports,Couple,1,15
TRP0000064,2020,9,Winter (Dec-Feb),France,Italy,Business,Couple,1,4
TRP0000065,2019,1,Summer (Jun-Aug),Japan,Egypt,Religious/Pilgrimage,Couple,2,7
TRP0000066,2020,3,Summer (Jun-Aug),Italy,UAE,Family Visit,Family,6,13
TRP0000067,2020,10,Winter (Dec-Feb),Spain,New Zealand,Leisure/Tourism,Backpacker,1,6
TRP0000068,2023,3,Spring (Mar-May),Japan,Italy,Family Visit,Group Tour,26,11
TRP0000069,2024,4,Autumn (Sep-Nov),Australia,USA,Education,Group Tour,19,70
TRP0000070,2023,11,Winter (Dec-Feb),Spain,Singapore,Adventure/Sports,Family,4,3
TRP0000071,2024,9,Summer (Jun-Aug),UAE,Indonesia,Education,Business Traveler,1,128
TRP0000072,2023,2,Winter (Dec-Feb),Australia,Japan,Business,Business Traveler,1,2
TRP0000073,2024,11,Winter (Dec-Feb),Brazil,UK,Leisure/Tourism,Couple,2,3
TRP0000074,2023,5,Summer (Jun-Aug),India,Turkey,Leisure/Tourism,Solo,1,5
TRP0000075,2023,12,Spring (Mar-May),Turkey,Italy,Leisure/Tourism,Backpacker,2,14
TRP0000076,2023,7,Summer (Jun-Aug),Pakistan,Thailand,Leisure/Tourism,Solo,1,7
TRP0000077,2019,1,Spring (Mar-May),Turkey,New Zealand,Leisure/Tourism,Couple,1,13
TRP0000078,2022,9,Summer (Jun-Aug),Saudi Arabia,USA,Leisure/Tourism,Solo,1,15
TRP0000079,2022,6,Spring (Mar-May),UK,Turkey,Medical Tourism,Business Traveler,1,8
TRP0000080,2022,12,Winter (Dec-Feb),Canada,France,Adventure/Sports,Business Traveler,1,4
TRP0000081,2024,4,Winter (Dec-Feb),Pakistan,Turkey,Honeymoon,Family,6,15
TRP0000082,2024,6,Summer (Jun-Aug),USA,France,Honeymoon,Couple,2,15
TRP0000083,2019,6,Winter (Dec-Feb),USA,Canada,Leisure/Tourism,Solo,1,17
TRP0000084,2023,2,Summer (Jun-Aug),Australia,Thailand,Honeymoon,Group Tour,12,10
TRP0000085,2023,3,Summer (Jun-Aug),USA,Singapore,Leisure/Tourism,Business Traveler,1,4
TRP0000086,2021,12,Winter (Dec-Feb),France,Thailand,Leisure/Tourism,Family,4,5
TRP0000087,2023,11,Summer (Jun-Aug),Japan,Indonesia,Leisure/Tourism,Family,5,16
TRP0000088,2020,2,Summer (Jun-Aug),South Korea,Italy,Education,Couple,2,82
TRP0000089,2024,2,Autumn (Sep-Nov),India,Spain,Leisure/Tourism,Family,3,15
TRP0000090,2023,7,Winter (Dec-Feb),Canada,UAE,Leisure/Tourism,Group Tour,8,15
TRP0000091,2024,9,Spring (Mar-May),Canada,Singapore,Business,Family,3,3
TRP0000092,2023,2,Winter (Dec-Feb),Saudi Arabia,Maldives,Honeymoon,Solo,1,19
